Kmax,Ku,n,halfmax,Vhalf,slope
10.75,0.9484,1.74,270400,-78.23,3.976e-05
11.77,0.9382,1.702,224700,-79.09,5.238e-05
10.56,0.9404,1.603,108900,-73.11,9.697e-05
10.68,0.947,1.515,65750,-73.77,0.0001624
12.73,0.1152,1.489,70260,-76.88,0.0001812
12.22,0.9401,1.606,134100,-75.6,9.113e-05
11.22,0.9487,1.565,96960,-75.28,0.0001157
13.46,0.9435,1.685,244000,-80.04,5.516e-05
12.08,0.9491,1.59,119600,-77.26,0.000101
10.61,0.9314,1.648,143000,-73.65,7.42e-05
11.57,0.8557,1.769,350800,-81.63,3.298e-05
11.84,0.9416,1.756,333900,-76.24,3.546e-05
11.75,0.8409,1.57,107100,-74.78,0.0001097
11.76,0.9481,1.624,145800,-76.13,8.066e-05
11.27,0.9449,1.703,225600,-76,4.996e-05
11.87,0.9398,1.757,333600,-76.64,3.558e-05
11.38,0.9349,1.828,498100,-80.8,2.285e-05
12.12,0.2519,1.502,72490,-73.48,0.0001672
11.89,0.9471,1.626,143900,-78.35,8.263e-05
12.48,0.9367,1.692,232800,-80.24,5.361e-05
10.83,0.9481,1.691,202000,-76.32,5.361e-05
11.64,0.2254,1.528,79920,-77.59,0.0001456
10.96,0.9346,1.653,160000,-75.84,6.85e-05
13.11,0.2308,1.646,188500,-77.35,6.955e-05
11.63,0.937,1.736,287200,-80.54,4.049e-05
11.46,0.9456,1.762,332400,-78.16,3.448e-05
11.1,0.9358,1.617,128900,-75.8,8.611e-05
11.6,0.9029,1.549,91240,-78,0.0001271
11.53,0.9431,1.562,95090,-73.21,0.0001213
13.39,0.1838,1.677,231800,-83.54,5.777e-05
11.52,0.9389,1.626,144500,-75.47,7.972e-05
11.98,0.949,1.626,147400,-78.09,8.128e-05
10.72,0.9505,1.564,88760,-76.43,0.0001208
11.18,0.8462,1.62,138600,-77.64,8.066e-05
10.3,0.9533,1.636,133500,-73.92,7.715e-05
13.13,0.9402,1.631,170200,-77.83,7.714e-05
12.4,0.9469,1.62,151500,-75.61,8.185e-05
11.83,0.9374,1.534,86760,-73.51,0.0001364
11.31,0.9484,1.617,128900,-78.77,8.774e-05
13.24,0.9997,1.539,97990,-79.4,0.0001351
10.73,0.9384,1.567,89660,-70.44,0.0001197
12.21,0.9415,1.639,162900,-75.47,7.495e-05
12.43,0.949,1.636,165600,-78.1,7.506e-05
12.4,0.9474,1.59,127700,-74.45,9.71e-05
12.39,0.9404,1.691,231500,-78.96,5.352e-05
10.87,0.948,1.692,203700,-76.6,5.336e-05
11.55,0.9393,1.732,270100,-77.95,4.276e-05
10.54,0.8166,1.691,189900,-80.59,5.55e-05
11.02,0.9683,1.686,198900,-79.62,5.54e-05
10.68,0.947,1.515,65750,-73.77,0.0001624
11.63,0.937,1.59,116500,-74.14,9.983e-05
12.29,0.8446,1.579,113100,-80.58,0.0001087
12.99,1,1.594,135500,-78.17,9.587e-05
11.16,0.9491,1.658,165700,-79.09,6.735e-05
11.63,0.9492,1.657,176700,-77.27,6.582e-05
11.29,0.8674,1.539,82340,-74.57,0.0001371
11.83,0.9459,1.539,88640,-74.49,0.0001335
11.67,0.9393,1.698,219500,-77.94,5.317e-05
11.51,0.9332,1.626,146000,-74.19,7.884e-05
11.9,0.4007,1.652,175400,-80.84,6.784e-05
10.49,0.9659,1.69,189800,-78.87,5.527e-05
12.78,0.8453,1.611,149200,-79.93,8.566e-05
10.73,0.8908,1.591,107200,-78.16,0.0001001
11.75,0.3873,1.719,261800,-80.21,4.488e-05
13.51,0.09985,1.646,199600,-78.74,6.769e-05
12.16,0.9456,1.748,327500,-79.55,3.713e-05
12.73,0.121,1.61,150500,-77.96,8.458e-05
10.33,0.9497,1.633,134000,-75.42,7.709e-05
11.95,0.7554,1.633,160100,-72.55,7.464e-05
11.82,0.7396,1.691,219200,-80.41,5.392e-05
9.382,0.9258,1.697,172000,-74.17,5.455e-05
11.57,0.9466,1.657,174200,-75.92,6.642e-05
11.01,0.9219,1.571,99640,-73.29,0.0001105
12.21,0.9466,1.629,160000,-75.43,7.631e-05
10.88,0.9483,1.691,201800,-76.62,5.391e-05
10.94,0.9482,1.662,167300,-76.98,6.539e-05
12.07,0.4672,1.604,133200,-78.82,9.062e-05
12.22,0.8488,1.583,115600,-80.63,0.0001057
10.45,0.9431,1.602,110100,-75.42,9.491e-05
9.918,0.9902,1.553,78350,-73.62,0.0001266
11.28,0.9405,1.784,369700,-77.4,3.051e-05
13.16,0.9415,1.63,169100,-77.59,7.782e-05
11.52,0.9318,1.627,146600,-74.42,7.858e-05
12.05,0.9446,1.658,191000,-75.49,6.309e-05
11.47,0.9405,1.733,270000,-77.38,4.248e-05
9.999,0.9372,1.652,144600,-73.04,6.915e-05
11.54,0.9346,1.632,150300,-75.47,7.678e-05
11.51,0.9332,1.626,146000,-74.19,7.884e-05
11.23,0.9714,1.642,155500,-78.18,7.222e-05
12.44,0.9362,1.698,234100,-77.99,5.314e-05
12,0.9375,1.704,241200,-76.46,4.975e-05
9.759,0.9788,1.638,126700,-74.79,7.702e-05
10.87,0.9166,1.559,88710,-77.8,0.0001225
10.23,0.9478,1.67,167600,-75.69,6.104e-05
11.58,0.9505,1.534,81150,-76.86,0.0001427
11.34,0.9466,1.563,95770,-76.1,0.0001184
11.45,0.9381,1.641,151700,-74.77,7.548e-05
11.01,0.9702,1.688,203100,-78.32,5.421e-05
11.63,0.9455,1.63,147500,-75.7,7.885e-05
13.16,0.1221,1.545,102200,-77.62,0.0001288
11.59,0.946,1.668,186200,-77.19,6.224e-05
12.22,0.9367,1.709,247000,-77.13,4.947e-05
12.11,0.7453,1.701,240700,-78.23,5.031e-05
11.94,0.2988,1.467,58950,-75.39,0.0002025
11.51,0.9362,1.6,119500,-74.04,9.632e-05
12.46,0.9495,1.727,297200,-82.62,4.192e-05
12.57,0.945,1.661,192000,-79.92,6.547e-05
11.86,0.9437,1.544,88970,-74.45,0.0001333
12.08,0.9422,1.551,97570,-75.71,0.0001238
12.38,0.9377,1.727,288900,-80.6,4.285e-05
12.41,0.9432,1.703,246800,-80.84,5.028e-05
12.32,0.941,1.708,251500,-78.78,4.899e-05
12.22,0.9681,1.582,114700,-81.14,0.0001065
11.12,0.8409,1.655,165200,-78.41,6.731e-05
10.33,0.9347,1.692,186900,-77.55,5.527e-05
11.71,0.2548,1.563,104300,-72.95,0.0001123
10.28,0.9396,1.747,263500,-78.88,3.901e-05
9.5,0.9388,1.579,85480,-71.96,0.0001111
11.03,0.8419,1.69,205900,-78.42,5.357e-05
12.03,0.9996,1.513,75970,-74.66,0.0001584
11.28,0.9405,1.784,369700,-77.4,3.051e-05
11.92,0.9491,1.615,138800,-77.25,8.588e-05
11.45,0.9456,1.765,338600,-78.16,3.382e-05
12.41,0.9377,1.695,237100,-79.57,5.234e-05
12.32,0.3043,1.521,83350,-76.76,0.0001478
12.71,0.9434,1.694,248500,-74.65,5.115e-05
11.38,0.9396,1.664,182400,-75.22,6.239e-05
11.59,0.9475,1.67,188400,-77.47,6.152e-05
10.62,0.9436,1.571,92410,-75.68,0.0001149
12.56,0.5195,1.692,236000,-82.03,5.322e-05
13.37,0.2079,1.646,194200,-79.48,6.885e-05
11.02,0.9442,1.635,137900,-76.64,7.991e-05
11.7,0.9501,1.662,182000,-78.52,6.429e-05
11.06,0.9428,1.551,84780,-73.97,0.0001305
12.08,0.2335,1.785,415800,-81.87,2.905e-05
11.79,0.9453,1.596,118400,-76.03,9.958e-05
12.51,0.9452,1.496,70200,-76.92,0.0001782
11.02,0.9401,1.64,143200,-76.88,7.696e-05
11.27,0.9401,1.825,481500,-78.61,2.341e-05
10.26,0.9428,1.618,116900,-75.02,8.777e-05
11.33,0.9408,1.779,360300,-77.76,3.145e-05
13.15,0.9408,1.634,173100,-77.83,7.597e-05
12.87,0.9317,1.588,128200,-78.21,0.0001004
13.48,0.9479,1.657,206200,-79.88,6.537e-05
12.01,0.9497,1.597,122900,-78.78,9.772e-05
11.57,0.9383,1.609,124700,-74.78,9.278e-05
11.57,0.9478,1.655,174300,-76.17,6.638e-05
12.9,0.9313,1.578,119900,-78.49,0.0001076
12.99,0.9276,1.579,122100,-78.95,0.0001064
11.65,0.938,1.607,123000,-75.96,9.472e-05
11.2,0.95,1.655,162900,-79.13,6.875e-05
12.43,0.9375,1.696,239700,-78.96,5.186e-05
12.17,0.9445,1.748,324800,-80.49,3.747e-05
13.68,0.9457,1.626,169800,-81.49,8.057e-05
10.82,0.9455,1.619,127500,-74.69,8.486e-05
12.12,0.9705,1.605,133200,-80.12,9.099e-05
11.49,0.2595,1.595,125000,-72.48,9.192e-05
11.91,0.2464,1.631,153600,-79.93,7.754e-05
13.24,1,1.54,97590,-78.19,0.0001357
11.67,0.9469,1.664,183200,-76.84,6.37e-05
12.54,0.2324,1.666,199600,-81.38,6.283e-05
12.12,0.9489,1.577,110200,-77.56,0.00011
11.62,0.9999,1.524,77080,-76.33,0.0001508
12.81,0.891,1.637,171900,-80.21,7.452e-05
10.87,0.9302,1.563,90260,-72.74,0.0001204
11.23,0.9499,1.562,95150,-75.04,0.000118
10.77,0.9049,1.584,102700,-78.12,0.0001049
12.37,0.941,1.717,273400,-77.17,4.525e-05
10.6,0.9528,1.592,107600,-76.71,9.851e-05
10.5,0.9401,1.64,137900,-73.15,7.614e-05
10.7,0.9497,1.565,88680,-76.44,0.0001207
13.38,0.946,1.661,208000,-80.95,6.433e-05
11.87,0.9701,1.65,174000,-80.06,6.822e-05
10.55,0.9666,1.657,155000,-78.86,6.806e-05
10.89,0.9383,1.67,170900,-76.84,6.372e-05
12.24,0.9473,1.725,286700,-78.72,4.269e-05
12.38,0.9462,1.661,191300,-77.39,6.472e-05
13.64,0.9472,1.602,148300,-78.77,9.198e-05
11.81,0.6307,1.699,226000,-82.57,5.226e-05
13.5,0.9468,1.651,197700,-80.3,6.829e-05
11.2,0.9468,1.553,86760,-74.76,0.0001291
12.49,0.8402,1.521,83560,-78.59,0.0001495
11.23,0.9468,1.55,84270,-75.78,0.0001333
11.25,0.9469,1.706,234700,-76.64,4.793e-05
12.24,0.2349,1.745,324700,-81.86,3.77e-05
11.16,0.9476,1.658,164700,-79.43,6.776e-05
11.46,1,1.557,94560,-77.45,0.0001212
10.71,0.9378,1.827,449900,-78.36,2.381e-05
13.3,1,1.539,100100,-78.16,0.0001329
12.23,0.9368,1.708,246100,-77.53,4.97e-05
13.71,0.9999,1.62,166300,-82.4,8.244e-05
13.07,0.2104,1.552,104600,-79.44,0.000125
12.1,0.3873,1.611,140000,-79.4,8.643e-05
10.31,0.9426,1.666,155800,-75.86,6.617e-05
9.725,0.9999,1.571,83600,-72.64,0.0001163
12.48,0.7104,1.697,242800,-82.29,5.14e-05
11.68,0.9435,1.639,153800,-77.48,7.594e-05
