Kmax,Ku,n,halfmax,Vhalf,slope
0.6725,0.000448,1.424,357.6,-180.6,0.001881
0.7158,3.985e-05,2,429.5,-147.8,0.001667
0.7352,3.375e-05,2,444.8,-158.1,0.001653
1.796,0.0008175,0.9341,419.4,-102.2,0.004282
4478,0.0001944,0.7953,519500,-169.3,0.00862
0.9285,1.562e-05,2,3966,-151.6,0.0002341
40.73,0.0004157,0.5786,2009,-189,0.02027
226900,0.0006159,0.7985,38930000,-166.6,0.005828
60620,0.0006776,0.8281,12420000,-189.3,0.004881
3.195,0.0005927,0.8055,438.1,-177.7,0.007293
0.7498,0.0004872,1.165,221.9,-188.2,0.003379
243700,0.0008282,0.6419,16760000,-174.2,0.01454
3.112,0.0004884,0.7178,253.5,-184,0.01228
0.7287,1.704e-05,2,248.7,-126.8,0.00293
2981000,0.0005622,0.6746,247500000,-181.3,0.01204
0.9762,0.0005511,1.132,333.8,-179.2,0.002925
1.73,8.486e-05,0.9303,302.1,-158.3,0.005727
3.4,0.0005705,0.7221,289.5,-173.3,0.01174
0.7387,0.0002417,1.667,1423,-154.3,0.0005191
3.689,0.0005831,0.6769,246.3,-187.2,0.01498
2.96,8.403e-05,1.097,1899,-167.9,0.001559
1059000,0.0006253,0.6949,99470000,-180.1,0.01065
2.874,0.0005261,0.7331,252.4,-174.8,0.01139
19540,0.000158,0.5606,695500,-194.6,0.02809
3.176,0.0008846,0.7883,396.6,-166.4,0.008008
3.48,0.0006265,0.7242,304.2,-177.8,0.01144
2.432,0.0007316,0.7904,278.9,-176.7,0.00872
3.467,0.0005722,0.7208,294.5,-175.4,0.01177
123000,0.0001811,0.8402,18970000,-167.8,0.006484
141.4,0.0007796,0.6801,11710,-199,0.01208
1.172,0.0005137,1.211,936.3,-169.4,0.001252
2.145,0.0002025,1.074,688,-168.4,0.003118
319500,0.0006303,0.6698,22500000,-194.2,0.0142
25830,0.0005545,0.7703,3777000,-165.7,0.006839
0.955,0.0005476,1.218,502.7,-182.3,0.0019
17.01,0.0006263,0.6473,1124,-154.5,0.01513
0.9399,0.0004841,1.214,472.8,-170.4,0.001988
3035,0.0001974,0.7133,218300,-140.9,0.0139
0.8244,0.0002788,1.243,368,-159.8,0.00224
18.74,0.0008543,0.6944,1642,-161.9,0.01141
316100,0.0007011,0.8692,82760000,-187.4,0.003819
0.7361,1.593e-05,2,214.4,-127.4,0.003433
47.13,0.0006788,0.9228,16640,-180,0.002832
1.771,0.0005256,0.7467,161,-183.1,0.011
2.115,0.0005822,0.7998,242.4,-159.6,0.008725
0.707,0.0003292,2,6913,-158.3,0.0001023
171100,0.0006893,0.8152,32580000,-181.8,0.005252
207800,0.0002182,0.5891,10490000,-171.1,0.01981
3.553,0.0005741,0.7191,300.6,-173.9,0.01182
4280,0.0001591,0.8219,572500,-157.9,0.007476
1.366,0.0005383,1.073,429.9,-165.8,0.003177
1.713,0.0005286,0.884,290.1,-172.9,0.005905
1.129,0.0006204,0.955,178.3,-176.9,0.006332
0.9798,0.0006758,1.204,505.1,-165.4,0.00194
65660,0.0006117,0.7845,10380000,-161.6,0.006326
1.922,0.0007659,0.8424,270,-160.4,0.007119
191800,0.0006072,0.672,17630000,-177.4,0.01088
1.035,3.124e-05,2,8454,-148.2,0.0001224
869600,0.0008001,0.8432,176500000,-162.5,0.004927
4814,0.0004557,0.6739,384200,-177.8,0.01253
0.6803,0.0004468,1.819,4634,-176.6,0.0001468
900400,0.0005808,0.7205,109600000,-170.8,0.008215
77.43,0.0005165,0.6976,8195,-191.4,0.009448
6.274,0.0004944,0.8227,948.8,-196.3,0.006613
2.051,8.025e-05,0.8667,277.5,-164.6,0.007391
3.239,0.0004989,0.8939,649.4,-176.1,0.004988
9430,0.0005427,0.6648,646000,-188.6,0.0146
1.026,0.0004845,0.9917,176.2,-176.8,0.005823
104.4,0.0003381,0.6057,5968,-186.7,0.01749
29260,0.0006272,0.6278,2114000,-92.44,0.01384
533100,0.0005995,0.9245,173900000,-181.8,0.003066
63150,0.0005369,0.8141,11900000,-196.6,0.005307
165100,0.0006309,0.7299,19080000,-154.2,0.008653
6296000,0.0005753,0.7332,667900000,-175.9,0.009427
20.88,0.0007079,0.7379,2124,-175.6,0.009831
1.73,0.0002661,1.107,1151,-154.2,0.001503
1.074,0.0006464,1.098,357.8,-169.9,0.003002
2653,0.001351,0.9245,975200,-165.6,0.00272
1.194,0.0002294,1.059,408.7,-168.9,0.002921
1.808,0.0004081,0.6403,69.82,-172.9,0.0259
3.078,0.0008287,0.7936,391.7,-179.6,0.007858
692300,0.001091,0.7317,81520000,-170.8,0.008492
0.7646,0.0004843,1.052,128.8,-174.3,0.005936
1.759,0.0008366,0.9251,410.8,-83.65,0.004282
1.041,0.0005434,1.058,262.7,-173.6,0.003963
1.799,0.0005978,0.8953,266.7,-172.1,0.006745
1.095,2.561e-05,2,8996,-157.3,0.0001217
241700,8.776e-05,0.6511,15300000,-170.7,0.0158
4.9,0.0005197,0.7534,534.5,-166,0.009167
1.46,0.0006041,0.995,321.6,-177.4,0.00454
48560,0.0005307,0.6429,3376000,-179.2,0.01438
0.968,2.278e-05,2,5567,-151.7,0.0001739
0.768,0.0005121,1.867,5049,-177.2,0.0001521
73090,0.0006276,0.8004,12690000,-183.2,0.00576
0.6455,2.111e-05,2,191.1,-163.9,0.003378
0.8943,0.0007552,1.409,1195,-187.2,0.0007484
0.7137,0.0003259,1.674,1376,-159.1,0.0005187
23.82,0.0007357,1.03,13960,-163.9,0.001706
1.857,8.384e-05,0.8013,161.7,-165.4,0.01148
