ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
94.34,0.7213,NA,NA,NA,NA,106600,1.799,2.73E+09,1.829,NA,NA,606,0.7747
145,0.7228,NA,NA,NA,NA,3153000,1.515,258200000,1.982,NA,NA,1344,0.529
94.58,0.6891,NA,NA,NA,NA,15380000,1.544,1.58E+09,1.677,NA,NA,1112,0.5615
86.21,1.38,NA,NA,NA,NA,4.03E+09,1.876,1.41E+09,0.5576,NA,NA,714.6,0.6616
96.51,1.091,NA,NA,NA,NA,7.94E+09,1.777,9.32E+09,0.8177,NA,NA,663.4,0.675
102.9,1.248,NA,NA,NA,NA,4.59E+09,1.887,231700000,0.7236,NA,NA,790.3,0.6957
92.61,1.52,NA,NA,NA,NA,1416000,1.541,25220000,1.178,NA,NA,554.4,0.8018
60.82,1.113,NA,NA,NA,NA,2.94E+08,1.73,2.04E+09,1.93,NA,NA,1058,0.6023
89.44,0.9762,NA,NA,NA,NA,413100,0.9072,9.89E+09,0.8121,NA,NA,1127,0.571
68.69,1.355,NA,NA,NA,NA,4.19E+09,1.227,4665000,0.9276,NA,NA,1263,0.5291
99.65,1.035,NA,NA,NA,NA,3.36E+09,0.6408,3.31E+09,0.5254,NA,NA,787.3,0.6744
93.37,0.8623,NA,NA,NA,NA,1.58E+09,0.6215,1066000,1.12,NA,NA,955.1,0.58
79.27,1.534,NA,NA,NA,NA,9.63E+09,1.894,5263000,1.769,NA,NA,723.2,0.6545
72.38,1.737,NA,NA,NA,NA,3.64E+09,1.893,120500,0.8307,NA,NA,860.8,0.6403
121.8,0.8227,NA,NA,NA,NA,2581,1.642,814400000,0.8971,NA,NA,892.9,0.6227
78.71,1.211,NA,NA,NA,NA,5390000,0.5516,66670000,0.6594,NA,NA,1025,0.5871
109.3,1.183,NA,NA,NA,NA,846100,0.5328,2951000,0.6993,NA,NA,714.6,0.6633
72.66,1.218,NA,NA,NA,NA,7991000,1.569,1244000,1.338,NA,NA,1574,0.5019
55.28,0.9959,NA,NA,NA,NA,114900,1.863,6.96E+09,0.7887,NA,NA,595.7,0.7299
79.71,1.165,NA,NA,NA,NA,10610,1.905,43690000,0.8399,NA,NA,1181,0.5676
80.76,1.275,NA,NA,NA,NA,7.68E+09,1.553,28150,0.7798,NA,NA,830.5,0.6136
77.63,1.388,NA,NA,NA,NA,1.87E+09,1.615,25010,1.822,NA,NA,725,0.6744
75.29,1.297,NA,NA,NA,NA,21000,1.818,421400,1.15,NA,NA,1255,0.5285
74.07,1.395,NA,NA,NA,NA,6112,1.219,412400,1.493,NA,NA,1210,0.5224
92.51,1.217,NA,NA,NA,NA,6910000,1.111,939700,0.7012,NA,NA,1629,0.5111
77.84,1.09,NA,NA,NA,NA,6.49E+09,1.317,428800000,0.7249,NA,NA,730.8,0.6973
168.8,0.8625,NA,NA,NA,NA,194300000,0.8625,36380,1.981,NA,NA,768.3,0.6445
80.38,1.082,NA,NA,NA,NA,4886000,1,312700,1.892,NA,NA,803.5,0.6674
70.47,1.382,NA,NA,NA,NA,120900000,0.9647,8.57E+08,0.8803,NA,NA,1330,0.5288
74.76,1.361,NA,NA,NA,NA,1.14E+09,1.328,446300000,0.5878,NA,NA,1276,0.5444
72.87,1.007,NA,NA,NA,NA,142000,1.706,1.21E+09,1.53,NA,NA,1611,0.5267
111.1,0.8808,NA,NA,NA,NA,1044000,1.601,7734,1.549,NA,NA,691.9,0.6791
76.24,1.218,NA,NA,NA,NA,36110,0.947,17250000,1.29,NA,NA,741.4,0.6539
91.83,1.237,NA,NA,NA,NA,29440,1.51,1192000,1.35,NA,NA,1194,0.5508
89.45,1.099,NA,NA,NA,NA,139600000,1.039,1369000,0.5745,NA,NA,1192,0.576
131.2,0.9261,NA,NA,NA,NA,379000,0.6889,411600000,1.195,NA,NA,1040,0.603
119.3,0.823,NA,NA,NA,NA,17860000,1.21,5.22E+09,1.279,NA,NA,1118,0.5667
113.4,1.262,NA,NA,NA,NA,14770,0.6216,417500000,1.665,NA,NA,975.1,0.5983
84.98,0.7424,NA,NA,NA,NA,304300000,1.139,151500000,0.5829,NA,NA,762.5,0.6395
69.79,1.323,NA,NA,NA,NA,23410000,1.833,12370,1.162,NA,NA,981.7,0.572
104.5,0.9021,NA,NA,NA,NA,67520000,1.119,270800000,1.861,NA,NA,715.2,0.657
79.91,1.226,NA,NA,NA,NA,34390000,1.288,339600000,1.871,NA,NA,1089,0.5763
78.06,1.685,NA,NA,NA,NA,596700000,0.9759,236600000,0.5124,NA,NA,1043,0.5736
