Kmax,Ku,n,halfmax,Vhalf,slope
1.181,2.962e-05,2,12010,-148.3,9.833e-05
1.372,2.821e-05,0.9209,67.58,-149.1,0.0203
2.105,6.101e-05,0.8741,206.1,-71.84,0.01021
1.649,2.031e-05,1.294,664.2,-153.3,0.002483
1.952,2.285e-05,1.288,925.7,-87.62,0.002109
1.099,0.005256,2,38950,-1,2.822e-05
10.24,1.836e-05,0.8368,1034,-163.2,0.009903
191700,1.767e-05,0.9032,29430000,-156.3,0.006514
1.705,1.142e-05,2,9762,-143,0.0001747
1.584,1.541e-05,1.819,1745,-115.7,0.0009077
2.29,1.13e-05,2,12310,-112.1,0.000186
5.51,1.397e-05,0.6806,132.8,-132.9,0.04149
1.332,0.005192,1.362,1847,-1,0.0007212
1.607,1.522e-05,2,4851,-126.2,0.0003313
0.8987,9.458e-05,2,9507,-1,9.453e-05
1.355,2.208e-05,2,5584,-145.8,0.0002427
1.325,5.387e-05,2,52980,-1.002,2.501e-05
1.594,2.305e-05,1.48,1635,-79.22,0.0009749
4.109,2.826e-05,1.051,1347,-1.001,0.00305
1.522,1.254e-05,2,3985,-133.5,0.0003819
237900,0.0001377,0.874,50830000,-1,0.00468
1.572,1.823e-05,2,32460,-159.7,4.843e-05
5.516,2.31e-05,0.7381,251.5,-86.77,0.02193
2.48,1.191e-05,1.259,420.5,-107.1,0.005898
37440,0.0001299,0.9491,12250000,-1,0.003056
2.289,1.194e-05,1.587,1528,-154.8,0.001498
2.041,9.9e-06,1.71,2146,-104.6,0.0009511
1.317,2.145e-05,2,5972,-129.8,0.0002205
291500,1.831e-05,0.6056,7641000,-138.6,0.03815
1.316,2.142e-05,2,5950,-150.5,0.0002212
3.335,9.486e-06,1.678,9030,-125.3,0.0003693
1.419,2.188e-05,1.956,14370,-153.1,9.875e-05
1.666,1.48e-05,2,6677,-99.61,0.0002495
1.68,2.308e-05,2,26090,-135.5,6.439e-05
1.252,2.019e-05,2,4881,-133.8,0.0002565
3.791,5.919e-05,0.9679,987.7,-64.71,0.003838
2.085,1.377e-05,2,30880,-149.5,6.752e-05
1.199,7.208e-05,1.999,35290,-1,3.398e-05
1.162,3.119e-05,2,10320,-152.4,0.0001126
10.95,0.0001547,0.8114,1433,-1,0.007641
1.055,6.197e-05,1.974,14940,-64.98,7.062e-05
2.791,8.711e-05,1.127,1600,-1,0.001744
1.663,1.746e-05,1.161,286.2,-163.4,0.005811
179500,0.0001215,1.023,94310000,-1,0.001903
1.295,2.076e-05,2,4610,-143.6,0.0002809
1.231,2.113e-05,2,4621,-134.9,0.0002664
2.23,1.142e-05,2,10230,-112.2,0.000218
1.698,2.336e-05,1.829,10780,-158.7,0.0001575
5779,2.357e-05,0.6414,189100,-145.8,0.03056
686.3,5.994e-05,0.7665,75050,-43.49,0.009145
