Kmax,Ku,n,halfmax,Vhalf,slope
0.278,0.8055,1.018,174.5,-92.76,0.001593
0.2393,0.9627,1.547,3131,-28.46,7.643e-05
0.2604,1,1.227,532.6,-42.49,0.0004889
0.2673,0.991,0.812,87.15,-34.89,0.003067
0.229,0.9984,1.244,310.3,-30.82,0.000738
0.2727,0.9996,2,57530,-47.25,4.74e-06
0.2604,0.7685,0.8705,107.6,-31.54,0.00242
0.2935,0.4866,0.8011,96.63,-61.19,0.003037
0.5202,0.7138,0.5431,80.58,-46.01,0.006456
0.2673,0.9999,1.114,241,-38.05,0.001109
0.2365,0.9837,1.234,410.7,-46.11,0.0005758
0.2622,0.6944,2,84460,-38.03,3.104e-06
0.2669,0.9164,0.8133,87.43,-42.56,0.003053
0.2871,0.9998,1.102,274.8,-44.27,0.001045
0.3343,0.7852,0.6039,49.89,-39.73,0.006701
0.2885,0.9822,0.718,59.31,-31.4,0.004864
0.2314,0.9678,1.079,162.4,-36.38,0.001425
0.3844,0.9452,0.5,33.14,-36.55,0.0116
0.2808,0.9999,2,61960,-50.01,4.532e-06
0.2684,0.7822,0.8277,120.2,-39.24,0.002233
0.2469,0.9968,2,62760,-45.11,3.934e-06
0.2566,0.9999,2,39990,-43,6.417e-06
0.2639,0.9977,0.8508,50.52,-42.56,0.005224
0.2412,0.9977,0.9185,122.9,-35.81,0.001963
0.2778,0.9396,0.7539,51.77,-49.47,0.005366
0.2544,0.9785,1.051,230.2,-29.31,0.001105
0.2234,0.9992,2,49000,-28.65,4.559e-06
0.2323,0.9243,2,56790,-5.659,4.091e-06
0.2886,0.7869,1.158,447.8,-161.1,0.0006445
0.2167,0.6802,1.55,1630,-51.42,0.0001329
0.265,0.9999,2,55000,-37.16,4.818e-06
0.2777,1,0.7915,38.26,-51.11,0.007258
0.2613,0.9926,0.9899,131.1,-71.43,0.001993
0.2197,0.9389,2,82460,-1.002,2.664e-06
0.3039,1,2,29320,-67.64,1.036e-05
0.2494,0.9991,0.8218,77.44,-37.08,0.003221
0.2655,0.9998,2,55070,-43.89,4.821e-06
0.1984,0.7178,1.241,660.9,-1.002,0.0003002
0.2397,0.9488,1.189,269.5,-42.95,0.0008894
0.2157,0.7307,1.059,233.9,-1.762,0.0009222
0.2429,0.9842,1.082,319.9,-36.81,0.0007593
0.256,0.8661,0.7821,74.75,-66.32,0.003425
0.2281,0.7762,0.8751,50.35,-29.45,0.00453
0.2382,0.9433,1.241,355.7,-35.86,0.0006697
66600000,1.013e-09,0.7,3226000,-3.817,20.64
0.3174,0.8034,0.7526,42.79,-107.3,0.007418
0.2723,0.9409,1.085,232.8,-93.76,0.00117
0.2848,0.9941,0.6036,29.81,-42.78,0.009554
0.245,0.9879,2,33840,-31.16,7.24e-06
0.2738,0.9184,0.7655,70.66,-35.97,0.003875
0.2546,0.9901,1.053,232.1,-37.19,0.001097
0.531,0.8008,0.5,48.11,-155.9,0.01104
0.2606,0.9999,2,86250,-42.16,3.021e-06
0.2635,1,1.391,1301,-61.85,0.0002025
0.2258,0.9605,2,31590,-28.99,7.148e-06
0.261,0.9997,2,36080,-37.58,7.234e-06
0.1944,0.7354,2,52450,-1.21,3.706e-06
0.2309,0.9817,1.198,240.4,-47.36,0.0009605
0.223,0.9457,1.937,11900,-35.9,1.874e-05
0.2379,0.9944,1.24,354.5,-29.52,0.0006711
0.3026,0.9758,0.7452,76.29,-31.64,0.003966
0.2563,0.902,1.267,402,-54.97,0.0006376
0.2498,0.9987,2,37240,-38.63,6.708e-06
0.2395,0.9821,1.166,370,-30.18,0.0006473
0.271,0.8986,1.202,854.4,-38.52,0.0003172
0.2059,0.7352,1.191,269.7,-2.432,0.0007634
0.2766,1,0.7539,51.86,-38.07,0.005334
0.2123,0.7694,1.21,323.6,-44.08,0.0006561
0.2544,0.9785,1.051,230.2,-29.31,0.001105
0.2533,0.9943,1.322,546,-32.72,0.0004639
0.259,0.9275,1.184,264.4,-72.7,0.0009796
0.2469,0.9998,2,53790,-35.9,4.59e-06
0.2402,0.9971,1.133,204.4,-30.05,0.001175
0.2579,0.9999,1.999,21860,-43.78,1.18e-05
0.2926,0.9969,2,43640,-40.05,6.705e-06
0.275,0.9398,0.7933,62.6,-55.1,0.004393
0.2583,0.9996,2,51740,-42.35,4.992e-06
0.3474,0.994,0.5315,23.63,-33.31,0.0147
0.2486,0.8929,1.179,300.2,-36.42,0.0008281
0.2556,0.9258,2,23960,-43.69,1.067e-05
0.2683,0.9999,2,38500,-43.73,6.969e-06
0.4564,0.7171,0.5837,85.73,-49.56,0.005324
0.242,0.9686,1.413,1540,-27.89,0.0001571
0.2787,0.9795,0.8014,115.3,-40.45,0.002417
0.229,0.432,1.322,1678,-7.951,0.0001365
0.2482,0.9554,0.9119,66.26,-35.5,0.003746
0.2294,0.9817,1.309,429.1,-49.47,0.0005346
0.2929,0.9977,0.7574,60.85,-36.87,0.004813
0.256,0.8996,1.619,7992,-50.72,3.203e-05
0.2407,0.9848,1.162,687.3,-27.53,0.0003502
0.1931,0.7357,1.565,1699,-1,0.0001137
0.2423,0.7856,1.422,1615,-38.15,0.00015
0.2572,1,2,36870,-63.54,6.976e-06
0.2233,0.9464,2,52950,-4.918,4.217e-06
0.2763,0.9928,0.6407,34.82,-36.28,0.007935
12830,1.029e-09,0.6555,295.4,-2.36,43.43
0.3289,0.9288,0.5541,30.33,-28.91,0.01084
0.3007,0.9892,2,61750,-71.58,4.87e-06
0.5243,0.7799,0.5136,43.73,-154.5,0.01199
0.229,0.974,1.739,7810,-35.25,2.932e-05
0.2837,0.7718,0.8196,98.19,-41.59,0.002889
111200,1.195e-09,0.6674,4751,-1.485,23.41
0.2314,0.9876,1.662,3231,-29.97,7.162e-05
0.2204,0.4345,1.117,161,-41.91,0.001369
0.2698,0.694,2,89350,-36.8,3.02e-06
0.2379,0.9944,1.24,354.5,-29.52,0.0006711
0.2641,0.9995,2,61580,-31.62,4.289e-06
0.2639,0.7729,1.223,1131,-32.03,0.0002333
0.4193,0.7122,0.5465,34.85,-79.12,0.01203
0.2395,0.7871,1.559,3349,-38.37,7.151e-05
0.2472,0.7014,1.295,297.7,-151,0.0008304
0.4009,0.7338,0.5,36.76,-73.76,0.01091
0.3138,0.7957,1.254,1346,-136.7,0.0002331
0.2681,0.9997,2,38690,-44.49,6.929e-06
0.2657,0.9286,1.167,305.1,-142.2,0.0008709
0.2546,0.9901,1.053,232.1,-37.19,0.001097
0.2868,0.9942,1.099,272.5,-37.14,0.001052
0.4015,0.7118,0.5754,67.8,-44.83,0.005922
0.2214,0.9314,1.295,474.3,-38.95,0.0004668
0.2308,0.9951,2,53910,-27.3,4.281e-06
0.2235,0.9935,1.766,4867,-30.49,4.592e-05
0.261,0.9999,2,36270,-40.06,7.196e-06
0.2671,0.8069,0.8915,53.49,-138.4,0.004993
0.23,0.9129,1.407,855.1,-6.303,0.000269
0.2457,0.7835,1.305,431.7,-39.14,0.0005691
0.2308,0.9423,1.796,6469,-35.9,3.568e-05
0.2494,0.9999,2,36840,-38.34,6.77e-06
0.2552,0.9921,0.8304,65.43,-32.34,0.0039
0.4907,0.8934,0.5,46.28,-81.01,0.0106
0.1996,0.7408,2,52220,-1.683,3.822e-06
0.2722,0.9999,2,35950,-43.96,7.572e-06
0.4885,0.7989,0.6942,144.3,-142,0.003385
0.232,0.999,1.025,126,-24.09,0.001841
0.2725,0.9557,0.7908,62.36,-32.39,0.00437
0.2667,0.9999,1.388,805.3,-34.57,0.0003312
0.235,1,0.9709,74.73,-31.5,0.003145
0.2478,0.9965,0.6937,36.3,-37.42,0.006826
0.229,0.432,1.322,1678,-7.951,0.0001365
0.2744,0.9955,2,52050,-37.55,5.272e-06
0.268,0.9998,1.33,1025,-49.8,0.0002615
0.2258,0.9605,2,31590,-28.99,7.148e-06
0.2868,0.9977,2,41380,-41.76,6.931e-06
0.2859,0.9768,2,41470,-65.58,6.894e-06
0.3083,0.5549,0.7143,66.32,-56.64,0.004649
599000,1.044e-09,0.636,18130,-1.76,33.04
0.2651,0.7289,0.6192,46.75,-1.003,0.005671
0.4062,0.9267,0.5001,32.59,-70.38,0.01246
0.2736,0.9954,0.768,71.06,-42.06,0.00385
0.23,0.7765,1.076,160.4,-24.59,0.001434
0.319,0.9082,0.5005,16.59,-40.02,0.01923
0.2515,0.9999,1.298,478.7,-42.29,0.0005254
0.2728,0.978,0.9501,156.3,-31.02,0.001745
0.2355,0.9373,1.951,23960,-66.32,9.829e-06
0.277,0.9998,2,81320,-45.12,3.406e-06
0.4161,0.8176,0.5,28.68,-147.7,0.01451
0.2286,0.7898,1.76,8686,-38.2,2.632e-05
0.2807,0.9988,1.072,304.8,-83.48,0.0009209
0.2681,0.9997,2,38690,-44.49,6.929e-06
0.2409,0.9694,1.696,6884,-31.71,3.499e-05
93460000,1.096e-09,0.7754,8793000,-1.15,10.63
0.2292,0.9262,1.038,136.3,-38.77,0.001682
0.2869,0.9982,2,41090,-41.53,6.982e-06
0.9208,0.4872,0.5038,115.1,-77.31,0.008
0.2866,0.9999,0.8961,133.6,-37.02,0.002145
0.2394,0.9453,1.186,267.9,-35.78,0.0008936
0.2084,0.7628,1.296,456.4,-2.878,0.0004566
0.2468,0.9982,0.9497,80.02,-44.43,0.003084
0.2374,0.7702,1.993,33690,-35.89,7.047e-06
0.2587,0.9995,1.409,802.7,-37.37,0.0003223
0.2566,0.9999,2,39990,-43,6.417e-06
0.2777,1,1.107,259.3,-46.98,0.001071
0.2753,0.9947,2,23570,-66.21,1.168e-05
0.2519,0.9982,1.425,1818,-42.27,0.0001386
0.2546,0.9901,1.053,232.1,-37.19,0.001097
0.2169,0.7753,1.218,269.6,-27.81,0.0008045
0.2431,0.7701,1.101,335.9,-27.88,0.0007237
0.2606,0.8626,1.086,241.1,-71.84,0.001081
0.2868,0.9996,1.341,688.1,-74.77,0.0004168
0.261,0.7706,0.8693,106.6,-41.27,0.002448
0.2642,0.999,2,61480,-35.46,4.297e-06
0.2808,0.9662,0.6015,22.42,-33.1,0.01252
0.2364,0.957,1.722,7948,-31.47,2.974e-05
0.217,0.7302,0.998,170.5,-1.501,0.001273
0.2686,0.9998,2,39260,-44.72,6.842e-06
